flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,local_departure,category
TIA,AGP,875,Tirana,Málaga,Albania,Spain,2151.6,58500,2023-02-28 20:55:00,Beach
TIA,AGP,966,Tirana,Málaga,Albania,Spain,2151.6,52200,2023-02-28 20:00:00,Beach
TIA,AGP,1047,Tirana,Málaga,Albania,Spain,2151.6,60900,2023-02-28 17:15:00,Beach
TIA,AGP,1104,Tirana,Málaga,Albania,Spain,2151.6,60900,2023-02-28 17:15:00,Beach
TIA,AGP,1825,Tirana,Málaga,Albania,Spain,2151.6,32100,2023-02-28 15:45:00,Beach
TIA,ALC,184,Tirana,Alicante,Albania,Spain,1763.5,171000,2023-02-28 11:30:00,Beach
TIA,ALC,196,Tirana,Alicante,Albania,Spain,1763.5,143700,2023-02-28 17:15:00,Beach
TIA,ALC,230,Tirana,Alicante,Albania,Spain,1763.5,144000,2023-02-28 19:00:00,Beach
TIA,ALC,239,Tirana,Alicante,Albania,Spain,1763.5,129600,2023-02-28 20:55:00,Beach
TIA,ALC,253,Tirana,Alicante,Albania,Spain,1763.5,104400,2023-02-28 12:20:00,Beach
TIA,ALC,282,Tirana,Alicante,Albania,Spain,1763.5,138900,2023-02-28 19:00:00,Beach
TIA,ALC,294,Tirana,Alicante,Albania,Spain,1763.5,87600,2023-02-28 20:55:00,Beach
TIA,ALC,294,Tirana,Alicante,Albania,Spain,1763.5,100800,2023-02-28 12:20:00,Beach
TIA,ALC,330,Tirana,Alicante,Albania,Spain,1763.5,97500,2023-02-28 20:55:00,Beach
TIA,ALC,335,Tirana,Alicante,Albania,Spain,1763.5,79500,2023-02-28 11:30:00,Beach
TIA,ALC,339,Tirana,Alicante,Albania,Spain,1763.5,81600,2023-02-28 20:55:00,Beach
TIA,ALC,353,Tirana,Alicante,Albania,Spain,1763.5,63300,2023-02-28 16:00:00,Beach
TIA,ALC,359,Tirana,Alicante,Albania,Spain,1763.5,97500,2023-02-28 12:20:00,Beach
TIA,ALC,361,Tirana,Alicante,Albania,Spain,1763.5,76800,2023-02-28 19:00:00,Beach
TIA,ALC,366,Tirana,Alicante,Albania,Spain,1763.5,74100,2023-02-28 12:20:00,Beach
TIA,ALC,369,Tirana,Alicante,Albania,Spain,1763.5,63300,2023-02-28 16:00:00,Beach
TIA,ALC,383,Tirana,Alicante,Albania,Spain,1763.5,69900,2023-02-28 20:55:00,Beach
TIA,ALC,385,Tirana,Alicante,Albania,Spain,1763.5,69900,2023-02-28 20:55:00,Beach
TIA,ALC,389,Tirana,Alicante,Albania,Spain,1763.5,79800,2023-02-28 20:55:00,Beach
TIA,ALC,408,Tirana,Alicante,Albania,Spain,1763.5,34500,2023-02-28 13:20:00,Beach
TIA,ALC,425,Tirana,Alicante,Albania,Spain,1763.5,31500,2023-02-28 15:45:00,Beach
TIA,ALC,447,Tirana,Alicante,Albania,Spain,1763.5,30600,2023-02-28 16:00:00,Beach
TIA,ALC,474,Tirana,Alicante,Albania,Spain,1763.5,31800,2023-02-28 14:10:00,Beach
TIA,ALC,482,Tirana,Alicante,Albania,Spain,1763.5,60600,2023-02-28 18:00:00,Beach
TIA,ALC,512,Tirana,Alicante,Albania,Spain,1763.5,84000,2023-02-28 15:45:00,Beach
TIA,ALC,537,Tirana,Alicante,Albania,Spain,1763.5,84000,2023-02-28 15:45:00,Beach
TIA,ALC,539,Tirana,Alicante,Albania,Spain,1763.5,83100,2023-02-28 19:00:00,Beach
TIA,ALC,544,Tirana,Alicante,Albania,Spain,1763.5,78600,2023-02-28 20:55:00,Beach
TIA,ALC,621,Tirana,Alicante,Albania,Spain,1763.5,78900,2023-02-28 17:30:00,Beach
TIA,ALC,630,Tirana,Alicante,Albania,Spain,1763.5,73200,2023-02-28 20:55:00,Beach
